"ID","种","属","亚科","描述","分布"
"68","宽结盲切叶蚁Carebara latinoda","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为宽结巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 宽结盲切叶蚁的模式产地位于中国广西。 兵蚁：TL 6.8~7.2, HL 1.17~2.53, HW 1.10~2.30, CI 91~97, SL 0.66~1.11, SI 48~57, PW 0.57~1.11, AL 1.17~1.85, ED 0.10~0.19.头长大于宽，后头缘宽凹陷。上颚粗壮，咀嚼缘具5齿，端2齿发达，基3齿短宽而钝。唇基中部凸，前缘中央波形凹陷。头顶中央纵沟浅但完整。触角短；柄节超过复眼后缘，端部膨大；鞭节2~9节约等长，基棒节长为端棒节的2/3。复眼小，微凸，位于头侧中线之前。前、中胸背板圆凸，背板缝不明显；中胸小盾片突出；中-并胸腹节缝深凹；并胸腹节基面短，斜面中部纵向凹陷；并胸腹节刺小，侧扁，端部尖，直指向后上方。第1结节高，背面钝圆，高与长约相等；第2结节横椭圆形，宽为长的1.5倍，约1.3倍宽于第1结节，两侧缘圆形。后腹部卵形。 体光亮。上颚外侧基部、头部额脊之间和头侧面以及触角窝具细纵刻纹；后头部具横刻纹；头顶在纵刻纹与横刻纹之间有一较宽的光亮区。前胸背板刻纹横形；中胸背板刻纹会聚，中部光亮；小盾片矩形，边缘明显；并腹胸侧面具纵刻纹和刻点。第1结节前、后面具弱的横刻纹；第2结节背部及后腹部光亮。立毛长，金黄色，丰富；头顶最长立毛0.60mm；小盾片立毛14根，第1结节立毛10根，第2结节立毛多数。触角柄节具稀疏立毛和密集倒伏毛；后足胫节背面具稀疏亚直立毛。体橙红色。触角、结节及后腹部黄褐色；后腹部有褐色带，各节背板端缘具金黄色窄边；上颚和唇基红褐色，边缘黑色。 小型兵蚁：TL 3.8。体较小；刻纹较细；中胸侧板和并胸腹节具粗密刻点；中胸小盾片不突出。其余特征同大型兵蚁。 工蚁：TL 1.8~2.3, HL 0.56~0.64, HW 0.52~0.56, CI 87~92, SL 0.46~0.50, SI 76~88, PW 0.31~0.32, AL 0.62~0.76, ED 0.038~0.056.体较细长。头长大于宽，后头缘不凹陷。上颚长三角形，咀嚼缘具5齿。触角柄节接近后头缘。头、前胸背板、结节及后腹部光亮；中胸侧板及并胸腹节具稀疏粗刻纹和刻点。立毛稀疏而长。体褐黄色；上颚颜色深，后腹部染褐色。","中国广东（深圳（南山））、广西（河池、柳州、蒙山、容县）。"
"69","卷须盲切叶蚁Carebara capreola","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为卷须稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 卷须盲切叶蚁的模式产地位于越南。","中国澳门、广东；越南。"
"70","江西盲切叶蚁Carebara jiangxiensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为江西稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 江西盲切叶蚁的模式产地位于中国江西。 兵蚁(正模数据在前，mm)：TL 2.1, 2.0~2.1; HL 0.66, 0.62~0.66; HW 0.53, 0.48~0.53; CI 125, 125~133; SL 0.29, 0.27~0.29; SI 55, 55~56; PW 0.29, 0.27~0.29; AL 0.45, 0.44~0.46头几长方形，两侧近平直，后头缘中央宽凹，后头角圆形；上颚具大小不一的5枚钝齿；唇基凸，前缘中央略凹，中部前缘及两侧后缘凹陷；触角9节，柄节短，刚刚超过复眼着生位置；复眼仅由1个小眼构成；无单眼；前、中胸背板愈合，凸圆；并胸腹节前具一深沟；并胸腹节基面略凸圆，斜面近垂直，基面明显长于斜面；并胸腹节背板两侧具弱脊，在基面和斜面交汇处具1对不甚明显的齿突。第一结节楔形，顶端近平直且窄，其前、后部倾斜成近相同角度；第二结节圆形，较第一结节宽，但较低。后腹部卵圆形，背板较扁平。 体较光亮。头部上颚和唇基几无刻点；唇基外侧具较稀疏的纵长刻纹，头顶处具数条明显的横刻纹，头其余部分具少许刻点；并腹胸几无刻点，但并胸腹节两侧呈皮革状纹；第一结节具较细密的刻点，第二结节和后腹几无刻点。体具稀疏的黄色立毛和柔毛。 头红褐色，体其余部分黄褐色，足和触角具更多的黄色成分。","中国广东（始兴）、江西（分宜（大岗山））、浙江。"
"71","尖刺盲切叶蚁Carebara acutispina","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为尖刺稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 尖刺盲切叶蚁的模式产地位于中国云南。 兵蚁体长1.4mm。工蚁体长0.85~0.93mm。","中国云南（勐腊、景洪）。"
"72","湖南盲切叶蚁Carebara hunanensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为湖南稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 湖南盲切叶蚁的模式产地位于中国湖南。 兵蚁(正模数据在前，mm)：TL 3.5, 3.4~3.5; HL 0.84, 0.83~0.84; HW 0.76, 0.76~0.77; CI 111, 108~111; SL 0.36, 0.34~0.36; SI 47, 44~47; PW 0.43, 0.38~0.43; AL 0.77, 0.72~0.77头矩形，其后部略宽于前部，后头缘中央深凹；上颚三角形，具5枚粗钝齿；唇基向后伸至额脊间，其前缘中间凹，唇基前部中央和两侧及后缘凹陷；触角9节，柄节较短，其柄节1/4长度超过复眼后缘；复眼由16个小眼组成；具3个明显的单眼，其中2个后单眼凸起。并腹胸背面平；并胸腹节前具一深沟；并胸腹节两侧缘具弱脊，于基面末端两侧形成钝角，斜面略内凹，长于基面。第一结节几呈楔形，前面略向后倾斜，后面较陡，顶端窄且横行；第二结节较第一结节宽大，圆形。后腹部大，卵圆形，较扁平。 上颚和唇基中部光亮，头部其余部分暗，具细密的纵长刻纹；并腹胸和第一结节略具光泽，具较密的细刻点；第二结节和后腹部大部光亮，仅有稀疏刻点。立毛黄色，细而稀疏；柔毛被较稀疏。 体红褐色至暗红褐色，头部较暗和色深，触角和足具更多的黄色成分。吴坚和王常禄(1992)曾在《湖南森林昆虫图鉴》将此新种误记述为邵氏盲切叶蚁。经请日本蚂蚁分类专家寺山守先生与模式标本比较，现确定为一新种。","中国湖南（宜章（莽山））、香港。"
"73","红盲切叶蚁Carebara vespillo","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为红巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 红盲切叶蚁的模式产地位于中国。 兵蚁：体长3.5~7.8mm。最大型兵蚁体橘红色，后腹部和足黄色至黄褐色，立毛稀疏，金黄色，体背毛较长。身体十分光亮；上颚具稀疏细刻点，基部有刻纹；头颊部、唇基两侧和额脊内侧具纵长刻纹；头顶中上部具细横刻纹；中胸侧板和并胸腹节较暗，具刻纹和刻点。头两侧几平直，后头缘中央深凹；复眼很小；上颚咀嚼边末端具2齿，近基部有3个弱齿；唇基前缘中央宽凹，很浅；触角柄节较短，末端仅达头中部偏上部分。前、中胸背板形成半圆形凸面，向后变窄；中胸背板末端深凹；并胸腹节背板基面平，短于斜面，其上有1对极短的粗刺。第一结节小，后缘直；第二结节椭圆形，其宽度为第一结节的3倍。小型兵蚁与最大型兵蚁相似，但头较小，后头缘凹陷很浅，头部刻纹不明显。在上述两型兵蚁间，尚有多种过渡类型。","中国山东、河南（鸡公山）、浙江、江西、湖南、广西（金钟山、弄岗）；越南。"
"74","黑沟盲切叶蚁Carebara melasolena","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为黑沟巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。本蚁种得名于兵蚁头顶中央纵沟内具一条粗黑线，这亦是其快速识别特征。 黑沟盲切叶蚁的模式产地位于中国。 兵蚁：TL 2.3~5.8（不排除有体长更大的兵蚁的可能）, HL 0.71~1.87, HW 0.62~1.80, CI 87~96, SL 0.47~0.86, SI 47~75, PW 0.37~0.75, AL 0.82~1.52, ED 0.04~0.13.头长稍大于宽，两侧缘平直，后头缘凹。上颚侧缘凸，咀嚼缘具5钝齿，端2齿大，基2齿不明显。唇基中部凸，前缘中央波形凹陷，两侧缘窄。额沟浅，在头顶中部被光亮区所阻断，后头部中央纵沟内具一条粗黑线。触角短；柄节不到达头侧的1/2；鞭节2~6节长宽近相等，7~8节长大于宽，基棒节长为端棒节的2/3。复眼小而平，位于头侧中部之前。前胸、中胸背板圆凸；中胸小盾片略后凸，不显著；前-中胸背板缝不明显，中-并胸腹节缝凹陷；并胸腹节基面短于斜面，刺侧扁，短于其基部宽，端部向背上方弯曲。第1结节侧面观略呈三角形，前、后面倾斜，其腹面具低的下突；第2结节横椭圆形，3倍宽于第1结节，为自身长的1.5倍；侧面观背面圆凸，低于第1结节。后腹部卵圆形。 体光亮。上颚具稀疏细小刻点，外侧基部具细纵刻纹；头部额脊之间、头侧前端、唇基侧缘以及触角窝具细纵刻纹；头顶具细弱横刻纹；前胸背板具不规则的短纵刻纹，侧面光亮；中胸背板具稀疏细小刻点，较光亮；中胸侧板及并胸腹节具密集细纵刻纹；并胸腹节斜面具稀疏横刻纹；结节侧面及后面具纵刻纹和密集刻点，背面光亮。后腹部光亮。立毛金黄色，在头部较密集，并腹胸和结节较稀疏；第1结节背缘具立毛1对，后腹部立毛较稀疏。茸毛被缺。体橙红色。上颚及唇基前缘红褐色，触角及足黄色；后腹部黄色，染褐色。 小型兵蚁：TL 2.3mm。与大型兵蚁相似。但头长明显大于宽，后头缘仅微凹陷。上颚较长，咀嚼缘具明显的5齿。中胸小盾片仅略见痕迹。体光亮；刻纹与大型兵蚁相似，但很细弱。立毛较大型兵蚁更稀疏。 工蚁：TL 1.8~2.2, HL 0.55~0.57, HW 0.47~0.51, CI 85~89, SL 0.42~0.45, SI 88~89, PW 0.32~0.35, AL 0.57~0.67, ED 0.033~0.035.头较小型兵蚁更小，长甚大于宽。触角较长，柄节接近后头角。上颚更细长，齿尖锐。前胸、中胸背板凸面较兵蚁低；并胸腹节刺更细小。","中国重庆、广西（金秀）、海南（昌江）、河南、湖北、湖南、上海、四川（川东盆地域）、香港、云南（西双版纳）、浙江。"
"75","光亮盲切叶蚁Carebara lusciosa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为光亮稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 光亮盲切叶蚁的模式产地位于中国广东。","中国广东。"
"76","高结盲切叶蚁Carebara altinoda","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为高结稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 高结盲切叶蚁的模式产地位于中国。 工蚁体长1.3~1.5mm，兵蚁体长3.6~4.5mm。","中国江西、西藏、云南（景东、西双版纳）。"
"77","多音盲切叶蚁Carebara polyphemus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为多音稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 多音盲切叶蚁的模式产地位于中国。","中国广东、山东、云南。"
"78","钝齿盲切叶蚁Carebara obtusidenta","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为钝齿稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 钝齿盲切叶蚁的模式产地位于中国云南。 兵蚁体长2.1~2.6mm。工蚁体长1.2~1.3mm。","中国重庆（大巴山）、湖南、西藏、云南（腾冲）；印度，孟加拉国。"
"79","粗纹盲切叶蚁Carebara trechideros","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为粗纹巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 粗纹盲切叶蚁的模式产地位于中国。 大型兵蚁：TL 5.3~5.9, HL 1.68~2.22, HW 1.58~2.22, CI 94~100, SL 0.85~1.14, SI 51~53, PW 0.70~0.88, AL 1.27~1.65, ED 0.04~0.12.头长大于宽，后头缘深凹。上颚粗大，咀嚼缘端部具2钝齿。唇基中部凸，前缘中央波形宽凹，侧缘窄。头顶中央纵沟浅但完整。触角柄节略超过复眼后缘，鞭节2~5节长宽近相等，6~8节长大于宽，基棒节长为端棒节的2/3。前、中胸背板圆凸，背板缝不明显；小盾片突起呈瘤状；中-并胸腹节缝窄而深凹；并胸腹节基面短，斜面纵向凹陷；并胸腹节刺短，刺长约与其基部宽相等，端部向背上方弯曲。第1结节侧面观三角形，前面斜，后面直，背缘圆凸，其腹面具脊突，脊突前下角钝圆；第2结节背面圆，低于第1结节，背面观横椭圆形，为第1结节宽的1.7倍。后腹部卵圆形。 体粗糙。上颚基部具细纵刻纹；头前部具粗纵刻纹，无光亮区，后头区刻纹网状，刻纹间密集刻点。前胸背板具不规则的横刻纹，向后部及侧面发散；中胸背板纵刻纹间密布刻点，其中央部分刻点稀疏，较光亮；中胸侧板具不规则的皱纹；并胸腹节基面刻纹横向，侧面刻纹纵向，刻纹间密布刻点。两结节均具粗密刻纹及刻点。后腹部光亮。立毛金黄色，较长且丰富；并腹胸背面最长立毛0.45mm；小盾片具立毛10根；第1结节背缘具立毛6根，其前、后面及两侧还具丰富的亚直立毛；第2结节和后腹部立毛多数；触角柄节及后足胫节背面具少许直立毛和丰富的亚直立毛；头部除直立毛外，还具丰富的倒伏毛。体深栗褐色。上颚及唇基具宽的黑色边缘；并腹胸及两结节颜色略浅；触角和足黄褐色。后腹部各节端缘具金黄色窄边。 工蚁：TL 2.2~2.4, HL 0.73~0.74, HW 0.66~0.71, CI 89~97, SL 0.56~0.59, SI 83~84, PW 0.33~0.40, AL 0.81~0.84, ED 0.035~0.037.头长大于宽，后头缘不凹陷。上颚较狭长，咀嚼缘具尖齿。触角柄节接近后头缘。前、中胸背板凸面较低；小盾片不甚明显；并胸腹节刺细而尖。刻点及刻纹较细弱，但上颚纵刻纹明显；中胸侧板及并胸腹节刻点粗密。立毛长，稀疏；并腹胸背面最长立毛0.31mm。第1结节背面具两立毛2根；第2结节具立毛4根。体黄色。上颚及唇基边缘褐色。 ","中国广东（惠东、龙门、平远）、广西（花坪、弄岗）、湖南、江西、云南；泰国，越南。"
"80","阿美盲切叶蚁Carebara amia","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为阿美稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 阿美盲切叶蚁的模式产地位于中国台湾。","中国台湾。"
"81","比氏虹臭蚁Iridomyrmex bicknelli","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae","原在我国有发现记录的比氏虹臭蚁蓬莱亚种（Iridomyrmex bicknelli formosae）确定为扁平虹臭蚁（Iridomyrmex anceps）的次异名，已撤销。 目前此蚁种在我国没有分布。","澳大利亚，新几内亚。"
"82","玛格丽特红蚁Myrmica margaritae","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原译名为“玛格丽特氏”，但种小名是一个名字，而非姓氏，故而去掉“氏”字，改译为“玛格丽特红蚁”。","中国广西、湖南、湖北、安徽、河南、河北、云南（昆明）、四川、浙江（丽水）、福建、台湾、甘肃（安定区、宕昌、山丹、 榆中）、广东（信宜）、陕西（龙池）、西藏（东久、排龙）；东南亚各国。"
"83","细纹毛切叶蚁Trichomyrmex destructor","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原细纹小家蚁（Monomorium destructor）移入毛切叶蚁属（Trichomyrmex），更名为细纹毛切叶蚁（Trichomyrmex destructor）。","中国湖南、广东（龙门、罗浮山）、广西（木论、花坪、猫儿山、大王岭）、福建、海南（高黎贡山）、云南（昆明）、台湾、香港；斯里兰卡，阿拉伯国家，北非，亚洲，大洋洲，欧洲及非洲各国。"
